%x,%y,%theta,%velocity,%steering,%label
-1.029827747865077504e-02,1.053398749439353292e-02,-8.568647781406313335e-03,8.205810077897839339e-01,-1.092381674799644455e-03,0.000000000000000000e+00
-9.896875940013065073e-03,1.012293641057218120e-02,-8.925286577221136497e-03,7.795560170839076486e-01,-8.692300829431793673e-04,0.000000000000000000e+00
-1.015948283365732466e-02,1.038803860419258013e-02,-9.233929298459342405e-03,7.405824025686674750e-01,-7.918376749913121808e-04,0.000000000000000000e+00
-1.131357427414740255e-02,1.156190077244885310e-02,-9.601349790567148546e-03,7.035578809649486454e-01,-9.922406169981233016e-04,0.000000000000000000e+00
-9.602130686419033112e-03,9.816339341815669833e-03,-1.015570248459940483e-02,6.683864310685702081e-01,-1.575838763103884748e-03,0.000000000000000000e+00
-1.164187914873883803e-02,1.189727751367648106e-02,-1.045154958811767010e-02,6.349686943719459187e-01,-8.852552178238051565e-04,0.000000000000000000e+00
-1.141071754030128366e-02,1.166152403666732146e-02,-1.107997371264823894e-02,6.032282354637106270e-01,-1.979357409183049154e-03,0.000000000000000000e+00
-9.651056480094528239e-03,9.863383241256330758e-03,-1.167076391832444493e-02,5.730708466398107825e-01,-1.958745523009704573e-03,0.000000000000000000e+00
-1.069916630345162795e-02,1.093730500415834861e-02,-1.200135486630726778e-02,5.444177215623735577e-01,-1.153751058392791422e-03,0.000000000000000000e+00
-1.016991135046430017e-02,1.039689585587413867e-02,-1.251897892435738235e-02,5.172025624616123363e-01,-1.901546118074450660e-03,0.000000000000000000e+00
-1.055865698711704395e-02,1.079755286551562637e-02,-1.297177897716073058e-02,4.913450688799284038e-01,-1.750947095272271936e-03,0.000000000000000000e+00
-9.804618989493073603e-03,1.002636189135376783e-02,-1.350574846371643822e-02,4.667826998791286264e-01,-2.173474782066707727e-03,0.000000000000000000e+00
-1.010649196235928818e-02,1.033938146597435798e-02,-1.394324581248618244e-02,4.434452909799020404e-01,-1.874513059358870861e-03,0.000000000000000000e+00
-9.695050420924044079e-03,9.919706606900537127e-03,-1.445283576371536594e-02,4.212774717170033045e-01,-2.298293328207551712e-03,0.000000000000000000e+00
-1.005401769453571556e-02,1.030419126497509816e-02,-9.710685837748811444e-03,1.000000000000000000e+00,9.009841053422619830e-03,0.000000000000000000e+00
-9.376405433929759295e-03,9.620022860948585636e-03,-8.223101979678237861e-03,1.000000000000000000e+00,2.826401804028618944e-03,0.000000000000000000e+00
-9.816357229979293803e-03,1.007209154650739666e-02,-7.546659207590900031e-03,1.000000000000000000e+00,1.285240559293494541e-03,0.000000000000000000e+00
-9.651979274241183349e-03,9.899972167055209882e-03,-7.715041733704186555e-03,9.572170476586225885e-01,-3.342259610659534426e-04,0.000000000000000000e+00
